ITEM,MATERIAL,DESCRIPTION,"Supplier Price
July 2025",Supplier Price Sep 2025,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES
,,"1-3/4x11-7/8"" LVL",$8.50,$8.89,15.00%,,$10.22,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"1-3/4x14"" LVL",$9.50,$9.89,15.00%,,$11.37,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"1-3/4x16"" LVL",$11.69,$11.89,15.00%,,$13.67,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"1-3/4x18"" LVL",$12.69,$12.99,15.00%,,$14.94,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"1-3/4x20"" LVL",$16.50,$16.99,15.00%,,$19.54,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"1-3/4x24"" LVL",$17.89,$19.50,15.00%,,$22.43,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"3-1/2x9-1/2"" LVL",$17.69,$18.99,15.00%,,$21.84,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"3-1/2x11-7/8"" LVL",$20.99,$21.69,15.00%,,$24.94,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"3-1/2x14"" LVL",$24.69,$26.99,15.00%,,$31.04,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"3-1/2x18"" LVL",$31.50,$32.50,15.00%,,$37.38,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"5-1/4x9-1/2"" LVL",$27.89,$28.69,15.00%,,$32.99,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"5-1/4x11-7/8"" LVL",$36.50,$37.50,15.00%,,$43.13,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"5-1/4x14"" LVL",$38.89,$39.99,15.00%,,$45.99,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,"7x11-7/8"" LVL",$40.99,$41.69,15.00%,,$47.94,lf,Builders First Source BFS Group LLC,LVL Lumber,
VERSA COLUMN / 1.8E PSL COLUMNS,PSL Columns,"3-1/2x3-1/2"" Versa Column",$7.50,$7.89,15.00%,,$9.07,lf,Builders First Source BFS Group LLC,Versa Lumber,
,,"3-1/2x5-1/2"" Versa Column",$10.99,$11.50,15.00%,,$13.23,lf,Builders First Source BFS Group LLC,Versa Lumber,
,,"3-1/2x7-1/4"" Versa Column",$12.69,$13.99,15.00%,,$16.09,lf,Builders First Source BFS Group LLC,Versa Lumber,
,,"5-1/4x5-1/2"" Versa Column",$15.89,$17.89,15.00%,,$20.57,lf,Builders First Source BFS Group LLC,Versa Lumber,
,,"5-1/4x7-1/4"" Versa Column",$19.99,$21.69,15.00%,,$24.94,lf,Builders First Source BFS Group LLC,Versa Lumber,
,,"7x7-1/4"" Versa Column",$39.99,$41.50,15.00%,,$47.73,lf,Builders First Source BFS Group LLC,Versa Lumber,
,PWT,"2-1/2x9-1/2"" PWI 32S",$4.19,$4.50,15.00%,,$5.18,lf,Builders First Source BFS Group LLC,I-Joists,https://iwpllc.com/wp-content/uploads/2023/01/PWT-Residential-User-Guide-2022-12-12.pdf
,,"2-1/2x11-7/8"" PWI 32S",$4.19,$4.50,15.00%,,$5.18,lf,Builders First Source BFS Group LLC,I-Joists,
,,"2-1/2x14"" PWI 32S",$5.19,$5.29,15.00%,,$6.08,lf,Builders First Source BFS Group LLC,I-Joists,
,,"2-1/2x16"" PWI 32S",$5.29,$5.50,15.00%,,$6.33,lf,Builders First Source BFS Group LLC,I-Joists,
,,"3-1/2x9.5"" PWI 42S",$4.50,$4.69,15.00%,,$5.39,lf,Builders First Source BFS Group LLC,I-Joists,
,,"3-1/2x11.88"" PWI 42S",$5.29,$5.69,15.00%,,$6.54,lf,Builders First Source BFS Group LLC,I-Joists,
,,"3-1/2x14"" PWI 42S",$5.50,$5.89,15.00%,,$6.77,lf,Builders First Source BFS Group LLC,I-Joists,
,,"3-1/2x16"" PWI 42S",$6.50,$6.50,15.00%,,$7.48,lf,Builders First Source BFS Group LLC,I-Joists,
MISCELLANEOUS,Foam seal,"3-1/2""x50' FoamSeal",$5.19,$5.19,15.00%,,$5.97,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,"5-1/2""x50' FoamSeal",$4.89,$4.89,15.00%,,$5.62,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,"7-1/2""x50'-6rolls FoamSeal",$15.95,$15.95,15.00%,,$18.34,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,Wrap,3'x165' Housewrap TYVEK,$118.69,$118.69,15.00%,,$136.49,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,10'x125' Housewrap TYVEK - Commercial Wrap,$498.58,$498.58,15.00%,,$573.37,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,9'x150' Housewrap TYVEK,$228.00,$0.00,15.00%,,$262.20,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,9'x100' Housewrap TYVEK,$85.10,$0.00,15.00%,,$97.87,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,9'x100' Housewrap BARRICADE,$101.69,$102.69,15.00%,,$118.09,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,"2""x165' Tape BARRICADE",$19.57,$19.57,15.00%,,$22.51,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,"2""x55' Tape TYVEK",$19.99,$0.00,15.00%,,$22.99,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,"6""x75' Flashing Tape TYVEK",$86.70,$86.70,15.00%,,$99.71,packs,Builders First Source BFS Group LLC,Miscelaneous,
,,"6""x75' Grace Window Wrap",$35.76,$35.76,15.00%,,$41.12,packs,Builders First Source BFS Group LLC,Miscelaneous,
,,"3-3/4""x90' ZIP Flashing Tape",$32.91,$36.38,15.00%,,$41.84,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,"6""x75' ZIP Tape",$56.93,$53.71,15.00%,,$61.77,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,,"6""x75' ZIP Stretch Tape",$220.58,$220.58,15.00%,,$253.67,rolls,Builders First Source BFS Group LLC,Miscelaneous,
,Adhesive,28oz-ea Construction Adhesive,$5.29,$5.50,15.00%,,$6.33,tubs,Builders First Source BFS Group LLC,Miscelaneous,
