,,,DESCRIPTION,QTY,Supplier Price,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES,LINK,TIMESTAMP
,,,"3-1/4""x75'_12rolls ZIP Flashing Tape",12rolls,$305.00,28.00%,,$390.40,rolls,Gillies & Prittie Warehouse,Miscelaneous,min 55 boxes,,
,,,"6""x75'-4rolls_WS ZIP Flashing Tape",4rolls,$138.00,28.00%,,$176.64,rolls,Gillies & Prittie Warehouse,Miscelaneous,min 54 boxes,,
,,,"6""x75'-4rolls_Retail ZIP Flashing Tape",4rolls,$149.00,28.00%,,$190.72,rolls,Gillies & Prittie Warehouse,Miscelaneous,53 boxes or less,,
,,,"6""x75' ZIP Flashing Tape",-,$49.35,15.00%,,$56.75,rolls,Home Depot,Miscelaneous,,Huber 6 in. x 75 ft. ZIP System Linered Flashing Tape 5017124 - The Home Depot,
,,,"12""x50' ZIP Flashing Tape",-,$92.13,15.00%,,$105.95,rolls,Home Depot,Miscelaneous,,Huber 12 in. x 50 ft. ZIP System Linered Flashing Tape,
,,,"3""x20' ZIP Stretch Tape",-,$32.48,15.00%,,$37.35,rolls,Home Depot,Miscelaneous,,Huber 3 in. x 20 ft. ZIP System Linered Stretch Flashing Tape,
,,,"6""x20' ZIP Stretch Tape",-,$56.63,15.00%,,$65.12,rolls,Home Depot,Miscelaneous,,Huber 6 in. x 20 ft. ZIP System Linered Stretch Tape,
,,,"6""x75' ZIP Stretch Tape",-,$129.00,28.00%,,$165.12,rolls,Gillies & Prittie Warehouse,Miscelaneous,,,
,,,"10""x20' ZIP Stretch Tape",-,$108.00,15.00%,,$124.20,rolls,Home Depot,Miscelaneous,,Huber 10 in. x 20 ft. ZIP System Linered Stretch Tape,
,,,"10""x75' ZIP Stretch Tape",-,$220.00,15.00%,,$253.00,rolls,Home Depot,Miscelaneous,,Huber 10 in. x 75 ft. ZIP System Linered Stretch Flashing Tape,
,,,"18""x50' Aquaflash Aqua Flash 500",-,$67.99,15.00%,,$78.19,rolls,WhiteCap,Weather Barrier,,https://www.whitecap.com/brands/aquaflash/catalog/Waterproofing-en/Building-Paper-Flashing-and-House-Wrap-en/Flashing-en,
,,Adhesive,28oz-ea Construction Adhesive,1tub,$12.48,15.00%,,$14.35,tubs,Home Depot,Miscelaneous,,Loctite PL Premium 28 oz. Polyurethane Construction Adhesive Tan Cartridge (each),
,,,28oz-2s Construction Adhesive,2tubs,$24.96,15.00%,,$28.70,tubs,Home Depot,Miscelaneous,,Loctite PL Premium 28 oz. Polyurethane Construction Adhesive (2-Pack),
,,,28oz-12s Construction Adhesive,12tubs,$159.76,15.00%,,$183.72,tubs,Home Depot,Miscelaneous,,Loctite PL Premium 28 oz. Polyurethane Construction Adhesive Tan Cartridge (12 pack),
,,Epoxy,8.5oz-ea Epoxy Anchor,1tub,$28.46,30.00%,,$37.00,tubs,Fastener Plus,Miscelaneous,,"Strong-Tie SET-3G10 - 8.5 Oz. Epoxy Anchor w/Nozzle, Pkg 1 – Fasteners Plus",6/2/2025
